timestamp,currency,walletBalance,marginBalance,availableMargin,withdrawableMargin,systemWithdrawableMargin,amount,realisedPnl,unrealisedPnl,marginLeverage,marginUsedPcnt,riskLimit,riskValue,initMargin,maintMargin,excessMargin,foreignMarginBalance,foreignRequirement,grossComm,grossMarkValue,grossOpenCost,grossOpenPremium,isolatedUnrealisedPnl,targetExcessMargin
2026-04-29T02:09:35.360Z,BMEx,11000120000,11000120000,11000120000,11000120000,11000120000,11000120000,0,0,0,0,,0,0,0,11000120000,0,0,0,0,0,0,,11000120000
2026-05-30T00:01:00.000Z,USDt,888237518,888237518,888237518,888237518,888237518,888237518,0,0,0,0,500000000000000,0,0,0,888237518,0,0,0,0,0,0,,888237518
2026-07-03T08:08:50.506Z,XBt,3183310466,3446319790,3406177269,3143167945,3143167945,3183310466,0,263009324,0.5118,0.0116,1000000000000,4729552915,32638946,7503575,3406177269,0,0,0,1763724160,2965828755,0,,3406177269
